ceni_site_vote_ID,latitude,longitude,source
100492,-4.3883146,15.370954,Google API
100501,-4.3968257,15.258511,Google API
100512,-4.4299868,15.376662,Google API
100516,-4.4004802,15.406072,Google API
100517,-4.3697706,15.340862,Google API
100523,-4.3016309,15.310822,Google API
100524,-4.4086279,15.368261,Google API
100534,-4.3118374,15.302476,Google API
100537,-4.3121957,15.302443,Google API
100556,-4.4074616,15.370307,Google API
100561,-4.407453,15.370377,Google API
100562,-4.3697706,15.340862,Google API
100564,-4.3521805,15.323704,Google API
100567,-4.3892447,15.31041,Google API
100571,-4.407453,15.370377,Google API
100598,-4.349317,15.23863,Google API
100704,-4.349317,15.23863,Google API
100705,-4.349317,15.23863,Google API
100713,-4.3655159,15.494476,Google API
100720,-4.3618479,15.324846,Google API
100734,-4.349317,15.23863,Google API
100743,-4.3991898,15.357241,Google API
100758,-4.3022323,15.311331,Google API
100766,-4.342086,15.233798,Google API
100769,-4.3022129,15.311264,Google API
100777,-4.2996235,15.314799,Google API
100781,-4.3782772,15.340618,Google API
100785,-4.393212,15.31224,Google API
100821,-4.3762041,15.343412,Google API
100826,-4.4084479,15.424156,Google API
100829,-4.4163902,15.370396,Google API
100830,-4.3196794,15.278314,Google API
100835,-4.3670583,15.328673,Google API
100836,-4.3580086,15.354323,Google API
100842,-4.3670583,15.328673,Google API
100843,-4.3670583,15.328673,Google API
100844,-4.3670583,15.328673,Google API
100845,-4.35963,15.326271,Google API
100846,-4.3894417,15.370891,Google API
100852,-4.3549968,15.333022,Google API
100865,-4.4164012,15.370364,Google API
100868,-4.3499428,15.329732,Google API
100871,-4.3550738,15.317384,Google API
100874,-4.3780477,15.303133,Google API
100875,-4.3023141,15.311618,Google API
100879,-4.3550738,15.317384,Google API
100880,-4.378415,15.317458,Google API
100888,-4.3755157,15.32188,Google API
100896,-4.3702827,15.322588,Google API
100897,-4.3739741,15.318764,Google API
100907,-4.378415,15.317458,Google API
100910,-4.3772,15.342094,Google API
100923,-4.3022335,15.311336,Google API
100927,-4.3022686,15.311458,Google API
100928,-4.3991898,15.357241,Google API
100939,-4.3022686,15.311458,Google API
100944,-4.3753304,15.321931,Google API
100945,-4.3808064,15.31629,Google API
